Date,Site,Chamber,Air Temp,T1,T2,T_ave,WT depth (tube),Surface to tube height,Actual_WT,H1,H2,H3,H4,Height average,Extension,Havg_cm,Chamber V,Licor on,Licor off,H2 Time,CH4 processed,H2 processed,Merge,Notes,Data Merge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30/07/2025,AC,1,,/,/,NA,72.5,47,25.5,34.6,32.5,34.4,40,35.375,,,0.04012,11:49:00,11:59:00,/,,,,CH4 processed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30/07/2025,AC,2,,/,/,NA,82.5,58.2,24.3,38.5,36.9,37,37.5,37.475,,,0.04250,12:01:00,12:11:00,/,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30/07/2025,AC,3,,/,/,NA,82.9,62.4,20.5,36,41.8,40.3,40.8,39.725,,,0.04505,12:13:00,12:23:00,/,,,,No H2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30/07/2025,AC,4,,/,/,NA,89,60.5,28.5,38.3,36,34.5,37.2,36.5,,,0.04140,12:26:00,12:36:00,/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30/07/2025,AC,5,,/,/,NA,80,51.6,28.4,40,35.4,36.5,38.9,37.7,,,0.04276,12:39:00,12:49:00,/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30/07/2025,AC,6,,/,/,NA,61.4,47,14.4,40.3,35.6,41,41.3,39.55,,,0.04485,14:27:00,14:37:00,/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30/07/2025,AC,7,,/,/,NA,82.3,65,17.3,40.2,37,39.9,40.1,39.3,,,0.04457,14:16:00,14:26:00,/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30/07/2025,AC,8,,/,/,NA,90.3,61,29.3,37.5,39.3,41.5,38.4,39.175,,,0.04443,13:53:00,14:03:00,/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30/07/2025,AC,9,,/,/,NA,78,59,19,40.5,31.4,37.5,40.1,37.375,,,0.04239,13:40:00,13:51:00,/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30/07/2025,AC,10,,/,/,NA,50.8,37,13.8,34.5,36,37,36.1,35.9,,,0.04071,14:38:00,14:48:00,/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
