Type,Date,Site,Chamber,H2_Flux,H2_Min,H2_Max
Field,04/09/2025,AC,1,-11.67,-23.18,-0.168
Field,04/09/2025,AC,10,-24.25,-44.03,-4.467
Field,04/09/2025,AC,2,-9.477,-11.35,-7.608
Field,04/09/2025,AC,3,-50.48,-64.31,-36.66
Field,04/09/2025,AC,4,-25.99,-39.93,-12.06
Field,04/09/2025,AC,5,-32.28,-42.45,-22.11
Field,04/09/2025,AC,6,-9.876,-11.52,-8.231
Field,04/09/2025,AC,7,-25.61,-36.93,-14.3
Field,04/09/2025,AC,8,-35.46,-54.41,-16.51
Field,04/09/2025,AC,9,-17.83,-23.54,-12.12
Field,10/09/2025,AC,1,-16.56,-20.61,-12.51
Field,10/09/2025,AC,10,-28.26,-40.86,-15.65
Field,10/09/2025,AC,2,-12.67,-14.55,-10.79
Field,10/09/2025,AC,3,-17.07,-20.96,-13.19
Field,10/09/2025,AC,4,-12.57,-13.37,-11.77
Field,10/09/2025,AC,5,-11.8,-14.62,-8.99
Field,10/09/2025,AC,6,-10.69,-14.21,-7.176
Field,10/09/2025,AC,7,-40.58,-76.49,-4.668
Field,10/09/2025,AC,8,-33.71,-53.92,-13.51
Field,10/09/2025,AC,9,-13.79,-21.73,-5.859
Field,17/09/2025,AC,1,-13.71,-16.27,-11.15
Field,17/09/2025,AC,10,-24.16,-40.15,-8.178
Field,17/09/2025,AC,2,-9.414,-12.76,-6.072
Field,17/09/2025,AC,4,-19.82,-37.89,-1.751
Field,17/09/2025,AC,5,-5.101,-9.686,-0.5157
Field,17/09/2025,AC,6,-10.56,-13.92,-7.192
Field,17/09/2025,AC,7,-18.28,-34.2,-2.368
Field,17/09/2025,AC,8,-23.15,-40.37,-5.942
Field,17/09/2025,AC,9,-12.61,-23.14,-2.077
Field,23/09/2025,AC,1,-13.66,-21.56,-5.751
Field,23/09/2025,AC,10,-15.36,-17.51,-13.2
Field,23/09/2025,AC,2,-26.29,-37.96,-14.62
Field,23/09/2025,AC,3,-37.44,-47.37,-27.52
Field,23/09/2025,AC,4,-42.69,-74.27,-11.11
Field,23/09/2025,AC,5,-11.84,-13.18,-10.5
Field,23/09/2025,AC,6,-13.51,-16.69,-10.33
Field,23/09/2025,AC,7,-33.77,-63.97,-3.562
Field,23/09/2025,AC,8,-21.39,-35.52,-7.271
Field,23/09/2025,AC,9,-15.13,-23.44,-6.814
Field,01/10/2025,AC,1,-14.59,-16.93,-12.25
Field,01/10/2025,AC,10,-14.79,-17.53,-12.06
Field,01/10/2025,AC,2,-20.67,-40.03,-1.316
Field,01/10/2025,AC,3,-16.09,-20.56,-11.63
Field,01/10/2025,AC,4,-19.74,-32.05,-7.436
Field,01/10/2025,AC,5,-22.76,-36.06,-9.453
Field,01/10/2025,AC,6,-16.18,-22.47,-9.891
Field,01/10/2025,AC,7,-18.39,-22.21,-14.56
Field,01/10/2025,AC,8,-27.94,-34.18,-21.7
Field,01/10/2025,AC,9,-16.53,-23.15,-9.919
Field,06/11/2025,AC,1,-28.33,-46.72,-9.936
Field,06/11/2025,AC,10,-12.99,-17.84,-8.139
Field,06/11/2025,AC,2,-1.667,-2.624,-0.7104
Field,06/11/2025,AC,3,-13.82,-16.71,-10.93
Field,06/11/2025,AC,4,-8.097,-11.05,-5.14
Field,06/11/2025,AC,5,-13.21,-14.71,-11.71
Field,06/11/2025,AC,6,-8.751,-10.83,-6.668
Field,06/11/2025,AC,7,-13.63,-17.57,-9.677
Field,06/11/2025,AC,8,-12.51,-13.46,-11.57
Field,06/11/2025,AC,9,-16.61,-19.7,-13.53
Field,10/12/2025,AC,1,-31.17,-59.71,-2.631
Field,10/12/2025,AC,10,-18.61,-33.46,-3.75
Field,10/12/2025,AC,2,-1.751,-3.875,0.372
Field,10/12/2025,AC,3,-42.43,-54.53,-30.33
Field,10/12/2025,AC,4,2.171,-0.6244,4.967
Field,10/12/2025,AC,5,-12.46,-20.7,-4.228
Field,10/12/2025,AC,6,-9.906,-18.97,-0.8454
Field,10/12/2025,AC,7,-20.58,-36.52,-4.632
Field,10/12/2025,AC,8,-12.79,-14.64,-10.95
Field,10/12/2025,AC,9,-32.08,-65.47,1.305
Field,13/01/2026,AC,1,-35.15,-53.5,-16.79
Field,13/01/2026,AC,10,-11.01,-13.91,-8.113
Field,13/01/2026,AC,2,-0.7581,-6.051,4.535
Field,13/01/2026,AC,3,-13.66,-21.29,-6.024
Field,13/01/2026,AC,4,-2.347,-5.941,1.248
Field,13/01/2026,AC,5,-9.059,-10.14,-7.979
Field,13/01/2026,AC,6,-11.86,-13.58,-10.15
Field,13/01/2026,AC,7,-12.67,-14.54,-10.79
Field,13/01/2026,AC,8,-25.07,-40.56,-9.584
Field,13/01/2026,AC,9,-12.92,-14.84,-11.01
Field,17/02/2026,AC,1,-19.16,-29.38,-8.935
Field,17/02/2026,AC,10,-11.37,-12.54,-10.2
Field,17/02/2026,AC,2,-0.6246,-1.44,0.191
Field,17/02/2026,AC,3,-15.24,-18.1,-12.37
Field,17/02/2026,AC,4,-0.3483,-2.013,1.317
Field,17/02/2026,AC,5,-13.28,-26.95,0.3888
Field,17/02/2026,AC,6,-9.248,-11.98,-6.521
Field,17/02/2026,AC,7,-12.78,-13.76,-11.79
Field,17/02/2026,AC,8,-18.96,-25.95,-11.97
Field,17/02/2026,AC,9,-24.04,-37.31,-10.78
Field,18/03/2026,AC,1,-37.33,-44.87,-29.8
Field,18/03/2026,AC,10,-25.37,-39.59,-11.14
Field,18/03/2026,AC,3,-20.23,-25.27,-15.19
Field,18/03/2026,AC,4,-0.2259,-1.637,1.186
Field,18/03/2026,AC,5,-20.05,-29.78,-10.33
Field,18/03/2026,AC,6,-21.64,-25.53,-17.74
Field,18/03/2026,AC,7,-35.07,-52.27,-17.86
Field,18/03/2026,AC,8,-38.32,-58.16,-18.48
Field,18/03/2026,AC,9,-61.15,-91.82,-30.47
Field,09/04/2026,AC,1,-13.44,-19.4,-7.47
Field,09/04/2026,AC,10,-21.34,-26.24,-16.45
Field,09/04/2026,AC,2,0.6087,-2.562,3.78
Field,09/04/2026,AC,3,-14.94,-26.75,-3.12
Field,09/04/2026,AC,4,-0.2849,-2.871,2.301
Field,09/04/2026,AC,5,42.68,-47.49,132.9
Field,09/04/2026,AC,6,-14.2,-16.78,-11.63
Field,09/04/2026,AC,7,-27.9,-45.49,-10.3
Field,09/04/2026,AC,8,-18.42,-22.57,-14.27
Field,09/04/2026,AC,9,-35.79,-49.31,-22.27
Field,13/05/2026,AC,1,-27.01,-30.93,-23.09
Field,13/05/2026,AC,10,-35.52,-50.62,-20.42
Field,13/05/2026,AC,2,-8.457,-12.37,-4.546
Field,13/05/2026,AC,3,-13.71,-17.06,-10.35
Field,13/05/2026,AC,4,-3.788,-6.373,-1.203
Field,13/05/2026,AC,5,-24.25,-33.16,-15.34
Field,13/05/2026,AC,6,-24.78,-37.87,-11.69
Field,13/05/2026,AC,7,-33.04,-39.62,-26.47
Field,13/05/2026,AC,8,-18.88,-23.51,-14.25
Field,13/05/2026,AC,9,-43.24,-57.5,-28.97
Field,02/06/2026,AC,1,-16.7,-23.83,-9.571
Field,02/06/2026,AC,10,-18.72,-23.9,-13.54
Field,02/06/2026,AC,2,-3.005,-4.295,-1.715
Field,02/06/2026,AC,3,-28.09,-33.66,-22.52
Field,02/06/2026,AC,4,-4.912,-9.118,-0.7062
Field,02/06/2026,AC,5,-8.984,-9.384,-8.584
Field,02/06/2026,AC,6,-8.777,-11.28,-6.273
Field,02/06/2026,AC,7,-10.9,-11.91,-9.883
Field,02/06/2026,AC,8,-21.15,-28.47,-13.83
Field,02/06/2026,AC,9,-17.44,-22.35,-12.52
Field,17/06/2026,AC,1,-15.8,-19.63,-11.97
Field,17/06/2026,AC,10,-15.91,-25.06,-6.767
Field,17/06/2026,AC,2,-1.836,-4.287,0.6141
Field,17/06/2026,AC,3,-40.93,-58.85,-23.01
Field,17/06/2026,AC,4,-6.578,-9.983,-3.174
Field,17/06/2026,AC,5,-29.83,-36.16,-23.5
Field,17/06/2026,AC,6,-27.5,-49.36,-5.644
Field,17/06/2026,AC,7,-16.08,-20.13,-12.03
Field,17/06/2026,AC,8,-10.47,-15.78,-5.15
Field,17/06/2026,AC,9,-12.46,-16.92,-8.007
Field,23/06/2026,AC,1,-29.63,-46.03,-13.24
Field,23/06/2026,AC,10,-23.42,-28.98,-17.87
Field,23/06/2026,AC,2,-1.897,-6.315,2.522
Field,23/06/2026,AC,3,-28.53,-40.6,-16.46
Field,23/06/2026,AC,4,-2.268,-4.119,-0.4163
Field,23/06/2026,AC,5,-21.83,-31.02,-12.64
Field,23/06/2026,AC,6,-10.21,-12.39,-8.029
Field,23/06/2026,AC,7,-28.79,-37.71,-19.87
Field,23/06/2026,AC,8,-26.92,-39.79,-14.05
Field,23/06/2026,AC,9,-9.554,-15.58,-3.53
Field,28/08/2025,WH,1,-11.21,-13.81,-8.606
Field,28/08/2025,WH,2,-23.99,-39.94,-8.027
Field,28/08/2025,WH,3,-8.953,-17.58,-0.3215
Field,28/08/2025,WH,4,-40.53,-108.4,27.3
Field,28/08/2025,WH,5,-12.92,-23.25,-2.598
Field,28/08/2025,WH,6,-15.3,-44.3,13.7
Field,28/08/2025,WH,7,-19.53,-25.79,-13.27
Field,02/09/2025,WH,1,-45.73,-66.62,-24.84
Field,02/09/2025,WH,10,-2.351,-12.38,7.68
Field,02/09/2025,WH,2,-40.58,-78.72,-2.43
Field,02/09/2025,WH,3,-47.75,-108.7,13.22
Field,02/09/2025,WH,4,-63.01,-112.6,-13.46
Field,02/09/2025,WH,5,-17.88,-23,-12.75
Field,02/09/2025,WH,6,-17.96,-22.05,-13.87
Field,02/09/2025,WH,7,-9.91,-16.17,-3.652
Field,02/09/2025,WH,8,31.66,-51.62,114.9
Field,02/09/2025,WH,9,-14.82,-22.89,-6.75
Field,11/09/2025,WH,1,-46.1,-84.19,-8.009
Field,11/09/2025,WH,10,-1.518,-5.638,2.602
Field,11/09/2025,WH,2,-25.8,-33.62,-17.98
Field,11/09/2025,WH,3,-39.78,-66.98,-12.58
Field,11/09/2025,WH,4,-19.42,-24.11,-14.73
Field,11/09/2025,WH,5,-10.56,-13.58,-7.535
Field,11/09/2025,WH,6,-10.01,-13.62,-6.407
Field,11/09/2025,WH,7,-5.437,-7.488,-3.385
Field,11/09/2025,WH,8,-7.832,-11.96,-3.705
Field,11/09/2025,WH,9,-9.253,-13.83,-4.678
Field,18/09/2025,WH,1,-20.75,-31.88,-9.629
Field,18/09/2025,WH,10,-7.403,-16.99,2.18
Field,18/09/2025,WH,2,-9.351,-14.47,-4.231
Field,18/09/2025,WH,3,-12.59,-18.35,-6.824
Field,18/09/2025,WH,4,-54.61,-82.27,-26.94
Field,18/09/2025,WH,5,-22.01,-41.09,-2.93
Field,18/09/2025,WH,6,-14,-19.37,-8.628
Field,18/09/2025,WH,7,-9.611,-12.56,-6.659
Field,18/09/2025,WH,8,-15.12,-18.04,-12.21
Field,18/09/2025,WH,9,-7.683,-10.13,-5.238
Field,24/09/2025,WH,1,-55.87,-71.69,-40.06
Field,24/09/2025,WH,10,-3.33,-4.131,-2.53
Field,24/09/2025,WH,2,-21.09,-26.97,-15.22
Field,24/09/2025,WH,3,-34.08,-43.95,-24.21
Field,24/09/2025,WH,4,-64.53,-87,-42.06
Field,24/09/2025,WH,5,-29.48,-35.72,-23.24
Field,24/09/2025,WH,6,-26.93,-31.2,-22.65
Field,24/09/2025,WH,7,-16.1,-20.62,-11.59
Field,24/09/2025,WH,8,-24.38,-32.48,-16.29
Field,24/09/2025,WH,9,-28.42,-34.44,-22.4
Field,02/10/2025,WH,1,-37.46,-65.37,-9.559
Field,02/10/2025,WH,10,-0.2002,-0.734,0.3335
